Parent	Sire	Dam
501	0	0
502	0	0
503	0	0
504	0	0
505	0	0
506	0	0
507	0	0
508	0	0
509	0	0
510	0	0
511	0	0
512	0	0
513	0	0
514	0	0
515	0	0
516	0	0
517	1	105
518	1	105
519	1	105
520	2	106
521	3	107
522	4	108
523	5	109
524	6	110
525	6	110
526	7	111
527	8	112
528	8	112
529	8	112
530	8	112
531	9	113
532	9	113
533	9	113
534	10	114
535	10	114
536	11	115
537	12	116
538	13	117
539	13	117
540	13	117
541	13	117
542	13	117
543	13	117
544	13	117
545	14	118
546	14	118
547	15	119
548	15	119
549	15	119
550	16	120
551	16	120
552	17	121
553	17	121
554	17	121
555	17	121
556	18	122
557	19	123
558	20	124
559	21	125
560	21	125
561	21	125
562	21	125
563	22	126
564	23	127
565	23	127
566	24	128
567	25	129
568	25	129
569	25	129
570	25	129
571	26	130
572	27	131
573	28	132
574	29	133
575	29	133
576	29	133
577	29	133
578	30	134
579	30	134
580	31	135
581	32	136
582	32	136
583	33	137
584	33	137
585	33	137
586	33	137
587	34	138
588	35	139
589	36	140
590	36	140
591	37	141
592	38	142
593	38	142
594	38	142
595	38	142
596	38	142
597	39	143
598	40	144
599	41	145
600	41	145
601	41	145
602	42	146
603	42	146
604	42	146
605	43	147
606	43	147
607	43	147
608	44	148
609	45	149
610	46	150
611	46	150
612	47	151
613	47	151
614	47	151
615	47	151
616	48	152
617	49	153
618	49	153
619	49	153
620	50	154
621	50	154
622	51	155
623	51	155
624	52	156
625	52	156
626	52	156
627	53	157
628	53	157
629	54	158
630	55	159
631	55	159
632	55	159
633	56	160
634	56	160
635	56	160
636	57	161
637	58	162
638	58	162
639	59	163
640	59	163
641	59	163
642	60	164
643	61	165
644	61	165
645	62	166
646	63	167
647	63	167
648	63	167
649	63	167
650	64	168
651	64	168
652	64	168
653	64	168
654	65	169
655	66	170
656	66	170
657	67	171
658	68	172
659	69	173
660	70	174
661	70	174
662	70	174
663	71	175
664	71	175
665	72	176
666	72	176
667	73	177
668	73	177
669	73	177
670	74	178
671	74	178
672	74	178
673	75	179
674	75	179
675	76	180
676	76	180
677	77	181
678	77	181
679	77	181
680	78	182
681	78	182
682	78	182
683	78	182
684	79	183
685	80	184
686	81	185
687	81	185
688	82	186
689	83	187
690	83	187
691	83	187
692	84	188
693	84	188
694	85	189
695	85	189
696	86	190
697	86	190
698	86	190
699	87	191
700	87	191
701	87	191
702	87	191
703	87	191
704	88	192
705	88	192
706	88	192
707	89	193
708	89	193
709	89	193
710	90	194
711	91	195
712	91	195
713	92	196
714	92	196
715	92	196
716	93	197
717	94	198
718	95	199
719	96	200
720	97	201
721	97	201
722	97	201
723	97	201
724	98	202
725	98	202
726	98	202
727	99	203
728	99	203
729	99	203
730	99	203
731	100	204
732	101	205
733	101	205
734	102	206
735	102	206
736	103	207
737	104	208
738	104	208
739	104	208
