Parent	Sire	Dam
501	0	0
502	0	0
503	0	0
504	0	0
505	0	0
506	0	0
507	0	0
508	0	0
509	0	0
510	0	0
511	0	0
512	0	0
513	0	0
514	0	0
515	0	0
516	0	0
517	1	105
518	1	105
519	1	105
520	2	106
521	3	107
522	4	108
523	5	109
524	6	110
525	6	110
526	7	111
527	8	112
528	8	112
529	8	112
530	8	112
531	9	113
532	9	113
533	9	113
534	10	114
535	10	114
536	11	115
537	12	116
538	13	117
539	13	117
540	13	117
541	13	117
542	13	117
543	13	117
544	13	117
545	14	118
546	14	118
547	15	119
548	15	119
549	15	119
550	16	120
551	16	120
552	17	121
553	17	121
554	17	121
555	17	121
556	18	122
557	19	123
558	20	124
559	21	125
560	21	125
561	21	125
562	21	125
563	22	126
564	23	127
565	23	127
566	24	128
567	25	129
568	25	129
569	25	129
570	25	129
571	26	130
572	27	131
573	28	132
574	29	133
575	29	133
576	29	133
577	29	133
578	30	134
579	30	134
580	31	135
581	32	136
582	32	136
583	33	137
584	33	137
585	33	137
586	33	137
587	34	138
588	35	139
589	36	140
590	36	140
591	37	141
592	38	142
593	38	142
594	38	142
595	38	142
596	38	142
597	39	143
598	40	144
599	41	145
600	41	145
601	41	145
602	42	146
603	42	146
604	42	146
605	43	147
606	43	147
607	43	147
608	44	148
609	45	149
610	46	150
611	46	150
612	47	151
613	47	151
614	47	151
615	47	151
616	48	152
617	49	153
618	49	153
619	49	153
620	50	154
621	50	154
622	51	155
623	51	155
624	52	156
625	52	156
626	52	156
627	53	157
628	53	157
629	54	158
630	55	159
631	55	159
632	55	159
633	56	160
634	56	160
635	56	160
636	57	161
637	58	162
638	58	162
639	59	163
640	59	163
641	59	163
642	60	164
643	61	165
644	61	165
645	62	166
646	63	167
647	63	167
648	63	167
649	63	167
650	64	168
651	64	168
652	64	168
653	64	168
654	65	169
655	66	170
656	66	170
657	67	171
658	68	172
659	69	173
660	70	174
661	70	174
662	70	174
663	71	175
664	71	175
665	72	176
666	72	176
667	73	177
668	73	177
669	73	177
670	74	178
671	74	178
672	74	178
673	75	179
674	75	179
675	76	180
676	76	180
677	77	181
678	77	181
679	77	181
680	78	182
681	78	182
682	78	182
683	78	182
684	79	183
685	80	184
686	81	185
687	81	185
688	82	186
689	83	187
690	83	187
691	83	187
692	84	188
693	84	188
694	85	189
695	85	189
696	86	190
697	86	190
698	86	190
699	87	191
700	87	191
701	87	191
702	87	191
703	87	191
704	88	192
705	88	192
706	88	192
707	89	193
708	89	193
709	89	193
710	90	194
711	91	195
712	91	195
713	92	196
714	92	196
715	92	196
716	93	197
717	94	198
718	95	199
719	96	200
720	97	201
721	97	201
722	97	201
723	97	201
724	98	202
725	98	202
726	98	202
727	99	203
728	99	203
729	99	203
730	99	203
731	100	204
732	101	205
733	101	205
734	102	206
735	102	206
736	103	207
737	104	208
738	104	208
739	104	208
1001	564	727
1002	564	727
1003	564	727
1004	564	727
1005	564	727
1006	564	727
1007	564	727
1008	564	727
1009	564	727
1010	564	727
1011	564	727
1012	564	727
1013	607	707
1014	607	707
1015	607	707
1016	607	707
1017	607	707
1018	607	707
1019	587	736
1020	587	736
1021	587	736
1022	587	736
1023	587	736
1024	587	736
1025	587	736
1026	587	736
1027	587	736
1028	587	736
1029	680	640
1030	680	640
1031	680	640
1032	680	640
1033	680	640
1034	680	640
1035	547	602
1036	547	602
1037	547	602
1038	547	602
1039	547	602
1040	688	580
1041	688	580
1042	688	580
1043	688	580
1044	688	580
1045	688	580
1046	688	580
1047	688	580
1048	688	580
1049	718	578
1050	718	578
1051	718	578
1052	718	578
1053	718	578
1054	718	578
1055	718	578
1056	718	578
1057	633	541
1058	633	541
1059	633	541
1060	633	541
1061	633	541
1062	633	541
1063	633	541
1064	633	541
1065	689	530
1066	689	530
1067	689	530
1068	689	530
1069	689	530
1070	689	530
1071	689	530
1072	524	719
1073	524	719
1074	524	719
1075	524	719
1076	524	719
1077	524	719
1078	524	719
1079	524	719
1080	568	584
1081	568	584
1082	568	584
1083	568	584
1084	568	584
1085	568	584
1086	568	584
1087	658	576
1088	658	576
1089	658	576
1090	658	576
1091	658	576
1092	658	576
1093	658	576
1094	658	576
1095	658	576
1096	658	576
1097	551	659
1098	551	659
1099	551	659
1100	551	659
1101	551	659
1102	551	659
1103	551	659
1104	551	659
1105	551	659
1106	579	666
1107	579	666
1108	579	666
1109	579	666
1110	579	666
1111	579	666
1112	579	666
1113	579	666
1114	579	666
1115	579	666
1116	653	521
1117	653	521
1118	653	521
1119	694	655
1120	694	655
1121	694	655
1122	694	655
1123	694	655
1124	622	705
1125	622	705
1126	622	705
1127	622	705
1128	622	705
1129	622	705
1130	622	705
1131	622	705
1132	654	637
1133	654	637
1134	654	637
1135	654	637
1136	654	637
1137	654	637
1138	638	702
1139	638	702
1140	638	702
1141	638	702
1142	638	702
1143	638	702
1144	613	552
1145	613	552
1146	613	552
1147	613	552
1148	613	552
1149	613	552
1150	613	552
1151	613	552
1152	613	552
1153	613	552
1154	613	552
1155	723	676
1156	723	676
1157	723	676
1158	723	676
1159	723	676
1160	636	619
1161	636	619
1162	636	619
1163	636	619
1164	636	619
1165	636	619
1166	636	619
1167	636	619
1168	553	618
1169	553	618
1170	553	618
1171	553	618
1172	553	618
1173	537	691
1174	537	691
1175	537	691
1176	537	691
1177	537	691
1178	537	691
1179	537	691
1180	565	514
1181	565	514
1182	565	514
1183	565	514
1184	565	514
1185	565	514
1186	565	514
1187	565	514
1188	646	519
1189	646	519
1190	646	519
1191	646	519
1192	646	519
1193	646	519
1194	646	519
1195	646	519
1196	571	522
1197	571	522
1198	571	522
1199	571	522
1200	571	522
1201	571	522
1202	571	522
1203	571	522
1204	571	522
1205	571	522
1206	571	522
1207	571	522
1208	696	697
1209	696	697
1210	696	697
1211	696	697
1212	696	697
1213	696	697
1214	696	697
1215	703	616
1216	703	616
1217	703	616
1218	703	616
1219	703	616
1220	703	616
1221	703	616
1222	635	608
1223	635	608
1224	635	608
1225	635	608
1226	635	608
1227	575	577
1228	575	577
1229	575	577
1230	575	577
1231	575	577
1232	575	577
1233	575	577
1234	575	577
1235	575	577
1236	575	577
1237	574	686
1238	574	686
1239	574	686
1240	574	686
1241	574	686
1242	574	686
